dragons,3,"['How to Train Your Dragon 2', 'The Chronicles of Narnia: The Voyage of the Dawn Treader', 'How to Train Your Dragon']"
currency,1,['Criminal']
caution,1,"['""Lust']"
kingdoms,1,['Mirrormask']
want,4,"['Main Prem Ki Diwani Hoon', 'Matusalem', 'Housefull 3', 'Greedy']"
phogat,1,['Dangal']
organizes,1,['Masterminds']
provincial,2,"[""La vengeance d'une blonde"", 'La Ci\xc3\xa9naga']"
unpaid,1,['Houseguest']
travel,30,"['Bossa Nova', 'He ni zai yi qi', 'Beerfest', 'Play It to the Bone', 'The Best Exotic Marigold Hotel', 'Sliders', 'Children of the Corn II: The Final Sacrifice', ""Gulliver's Travels"", 'Gattaca', 'King Kong', 'House of the Dead', 'Citizenfour', 'Safety Not Guaranteed', 'Rugrats in Paris: The Movie', 'Kids', 'My Life in Ruins', 'Resident Evil: Extinction', 'Star Trek: First Contact', 'Bad Girls', 'Silence', 'Billabong Odyssey', 'The Conjuring 2', 'Mechanic: Resurrection', 'Roadside Prophets', 'Interstellar', ""The Time Traveler's Wife"", 'The Way Back', 'Fear and Loathing in Las Vegas', 'Free Birds', 'Away We Go']"
drying,1,['You Kill Me']
feature,5,"['Earth', 'Eva Hesse', 'The Beverly Hillbillies', 'The Oscar Nominated Short Films 2015: Animation', 'Lost Boys of Sudan']"
comedians,2,"['The Original Kings of Comedy', 'The Aristocrats']"
revisit,2,"['Neil Young Journeys', '3 Idiots']"
machine,11,"['Mita Tova', 'Project Almanac', 'Major Payne', 'Hot Tub Time Machine', 'Cloudy with a Chance of Meatballs', 'Cloudy with a Chance of Meatballs 2', 'U-571', 'Paprika', 'Austin Powers: The Spy Who Shagged Me', 'The Dressmaker', 'Clockstoppers']"
how,48,"['Beyond the Mat', 'Cloud Atlas', 'The Favor', 'A Dangerous Method', 'Insidious: Chapter 3', '2 States', '20 Dates', 'Trekkies', 'Gigli', 'Cobb', 'Outbreak', 'Modulations', '17 Again', 'The Efficiency Expert', 'Oleanna', 'The Wind Will Carry Us', 'Fast Food Fast Women', 'The Remains of the Day', 'Chaar Sahibzaade 2: Rise of Banda Singh Bahadur', 'Countdown to Zero', 'Frailty', 'Hollow Man', 'Lambert & Stamp', 'Hitchcock/Truffaut', 'Magic Mike', 'La V\xc3\xa9nus \xc3\xa0 la fourrure', 'Bruce Almighty', 'Consenting Adults', 'The Wild Life', 'Ferrari Ki Sawaari', 'The Very Thought of You', 'Gossip', 'Spotlight', 'Snake & Mongoose', 'Eat Pray Love', 'The Hours', 'African Cats', 'My Dog Tulip', 'Andre', 'The People vs. Larry Flynt', 'For the Bible Tells Me So', 'The Trigger Effect', 'I Am', 'Memoirs of a Geisha', 'Thrill Ride: The Science of Fun', 'Saw', 'Exit Through the Gift Shop', 'Hysteria']"
hot,12,"['Taxi', 'Destiny Turns on the Radio', 'Casino Jack', 'The Three Musketeers', 'Beasts of the Southern Wild', 'Antitrust', 'Eldorado', 'Driven', 'Cars', 'Goodbye Lover', 'The Chase', 'Houseguest']"
archibald,1,['John Q']
hop,1,['Your Friends & Neighbors']
granville,1,['Hysteria']
stickup,1,['Stand Up Guys']
cheetah,1,['Duma']
disgrace,1,['Death to Smoochy']
fanaticism,1,['Ha-Hesder']
cabbie,2,"['Taxi No. 9 2 11: Nau Do Gyarah', 'Race to Witch Mountain']"
beauty,10,"['V\xc3\xa9nus beaut\xc3\xa9 (institut)', 'Angus', 'Ask the Dust', 'The Flight of the Innocent', 'Miss Congeniality', 'Kukushka', 'Blown Away', 'Little Miss Sunshine', 'Touched with Fire', ""America's Heart & Soul""]"
shores,1,['The Pirates! Band of Misfits']
dinosaurs,5,"['The Lost World: Jurassic Park', ""We're Back! A Dinosaur's Story"", 'The Good Dinosaur', 'Walking with Dinosaurs 3D', 'Flying Monsters 3D with David Attenborough']"
modest,1,['Peggy Guggenheim: Art Addict']
reassess,1,['Crazy Heart']
destined,2,"['The Heart Specialist', 'Buffy the Vampire Slayer']"
charleston,1,['Rich in Love']
extortion,2,"['Pain & Gain', 'Face/Off']"
types,2,"['Fire Down Below', 'The Star Maker']"
ginsberg,3,"['The Life and Times of Allen Ginsberg', 'Howl', 'The Source: The Story of the Beats and the Beat Generation']"
sioux,1,['Skins']
wins,6,"['Down to You', 'Jimmy Vestvood: Amerikan Hero', 'Black Swan', 'Charlie and the Chocolate Factory', 'Welcome to Me', ""Mr. Bean's Holiday""]"
attracts,1,['Battle of the Year']
headquarters,1,['Adorenarin doraibu']
fictional,7,"['Amigo', 'AmeriGeddon', 'The Dark Half', 'Greendale', 'Against the Ropes', 'Breakfast of Champions', 'Bolt']"
cigarettes,1,['Coffee and Cigarettes']
18th,4,"['Brotherhood of the Wolf', 'The Duchess', 'Hackers', 'BloodRayne']"
keeps,4,"['Born to Be Wild', 'The Man in the Iron Mask', ""Bridget Jones's Diary"", 'Gladiator']"
wing,7,"['The Sandlot', 'The Extra Man', 'The Next Karate Kid', 'Radio', 'The In Crowd', 'Following', 'Ip Man 2']"
wind,5,"['Boys and Girls', ""Brooklyn's Finest"", 'The Choice', 'Airheads', 'Pineapple Express']"
wine,3,"['Bottle Shock', 'Year of the Comet', 'Mondovino']"
sprawling,1,['Sleuth']
napoleon's,1,"[""The Emperor's New Clothes""]"
oppressors,1,['The Messenger: The Story of Joan of Arc']
dishonor,1,['47 Ronin']
tenuous,1,['The Trigger Effect']
partnered,1,['The Guard']
overcomes,4,"['Noble', 'Christopher Columbus: The Discovery', 'Walk Hard: The Dewey Cox Story', 'Soul Surfer']"
malby,1,['Post Grad']
mabel,1,"[""Madea's Big Happy Family""]"
fidelity,1,['A la mala']
dreamer,2,"['Two Family House', 'The Theory of Flight']"
californians,1,['The Jane Austen Book Club']
lovingly,1,['The Dictator']
reprises,1,"[""Big Momma's House 2""]"
fit,3,"['How to Lose Friends & Alienate People', 'The Wind Will Carry Us', 'The Closer You Get']"
o'donnell,1,['17 Again']
fellini's,1,"[""Fellini: I'm a Born Liar""]"
fix,1,['War Room']
munny,1,['Unforgiven']
pilkington,1,['Priest']
survivors,9,"['The Postman', 'Dawn of the Planet of the Apes', 'Flight of the Phoenix', 'Final Destination 5', 'Soldier', 'No Place on Earth', 'Resident Evil: Extinction', 'Left Behind', 'Tank Girl']"
rescued,2,"['The Island of Dr. Moreau', ""Harry Potter and the Sorcerer's Stone""]"
hidden,11,"['The Flower of My Secret', 'Titan A.E.', 'Transformers: Dark of the Moon', '""Crouching Tiger', 'Cutthroat Island', 'Deadly Renovations', 'Vacancy', 'Freakonomics', 'Dirty Wars', 'The Omega Code', 'Gunmen']"
virtually,1,['Buena Vista Social Club']
lambert,1,['Insidious: Chapter 3']
hussein's,1,"[""The Devil's Double""]"
memorialize,1,['A Mighty Wind']
