Title,Description,ReleaseDate
Albino Alligator,"While escaping from a foiled robbery attempt, three thieves find themselves surrounded by police at a New Orleans bar", 1996
Family Resemblances,An upper middle, 1996
Caught,"Joe and Betty run a fish market and have sunk into a comfortable, if somewhat boring life. Enter the drifter Nick, who takes a job in the store and a place in their home. He proceeds to ...                ", 1996
Gabbeh,An elderly couple go about their routine of cleaning their gabbeh , 1996
Hype!,Documentary covering the growth and subsequent overexposure of the Seattle , 1996
Foxfire,The story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them. They build a solid friendship but their wild ways begin to get out of ...                , 1996
Unhook the Stars,"Character study about Mildred, an elderly woman who has spent her life caring for others. When her daughter finally leaves home, she finds that, for the first time in her life, she has ...                ", 1996
Death in Granada,"A journalist starts an investigation into the disappearance of famed poet and political agitator, Garcia Lorca, who disappeared in the early days of the Spanish Civil War in the the 1930's.", 1996
I'm Not Rappaport,"Old Nat Moyer is a talker, a philosopher, and a troublemaker with a fanciful imagination. His companion is Midge Carter, who is half", 1996
Lilies - Les feluettes,1952, 1996
Love and Other Catastrophes,A day in the life of two film, 1996
Different for Girls,Karl Foyle and Paul Prentice were best mates at school in the Seventies. But when they meet again in present, 1996
Alive and Kicking,A passionately committed young dancer is forced to re, 1996
Santa with Muscles,An evil millionaire believes he is Santa Claus after an accident renders him amnesiac., 1996
Getting Away with Murder,When the very moralistic college ethics instructor , 1996
A Summer's Tale,A shy maths graduate takes a holiday in Dinard before starting his first job. He hopes his sort, 1996
Irma Vep,"A Chinese movie actress, in France to star in a remake of ", 1996
Beyond Silence,Since the earliest days in her childhood Lara has had a difficult but important task. Both her parents are deaf, 1996
Carried Away,Joseph Svenden is a middle, 1996
Citizen Ruth,"An irresponsible, drug", 1996
Infinity,Story of the early life of genius and Nobel Prize, 1996
X,"The story takes place in 1999, the Year of Destiny, and the beginning of the end of the world. The future of the universe rests on one young man, Kamui Shiro, who must destroy either the ...                ", 1996
Hard Eight,Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine., 1996
The Whole Wide World,"In Texas in the 1930s, young schoolteacher Novalyne Price meets a handsome, eccentric, interesting young man named Robert Howard. He's a successful writer ", 1996
Hustler White,"Reminiscent of Sunset Boulevard, Hustler White transposes the action from the silver screen's old movie backlots to contemporary male prostitution and the porn industry. Said to be an homage to classic Hollywood cinema.", 1996
Hotel de Love,Twin brothers meet a childhood sweetheart at a tacky hotel and rediscover their love as they renew their competition for her affection., 1996
"Angelo, Frédo et Roméo","Fredo just inherited his uncle's company but it bores him. Then he meets Angelo, a French movie director that introduces to the magical world of feature films. Suddenly, Fredo sees himself ...                ", 1996
Mad Dog Time,"With his boss in the madhouse, a mobster is temporary boss of the criminal empire just as vicious rivals threaten the control of the empire.", 1996
Mr. Toad's Wild Ride,Mole's underground home is bought by the Weasels from wealthy landowner Mr. Toad and Mole is thrown out. He and Rat start to fight to get his home back from evil Weasels., 1996
Qin song,Epic drama about China's first emperor , 1996
A Self-Made Hero,Set in France at the end of World War II Albert Dehousse finds out his father wasn't a war hero and his mother is a collaborator. He leaves his wife and goes to Paris. Gradually he ...                , 1996
Hollow Reed,Following the break, 1996
Le polygraphe,"Lucie Champagne is given the role of the victim, Marie", 1996
The Substance of Fire,Publishing magnate refuses to publish a book by his son's male lover so the kids buy out their father and run it themselves, 1996
Johns,"It's the day before Christmas, the day before John's 21st birthday. He's a prostitute on Santa Monica Blvd in L.A., and he wants to spend that night and the next day at the posh Park Plaza ...                ", 1996
Der Unhold,"Frenchman Abel Tiffauges likes children, and wants to protect them against the grown", 1996
A Perfect Candidate,"The filmmakers follow Oliver North's unsuccessful 1994 bid for a Virginia Senate seat, focusing on North's campaign strategist, Mark Goodin, and a Washington Post reporter. Mudslinging ...                ", 1996
Dong gong xi gong,"In China, homosexuality isn't illegal, but homosexuals are routinely persecuted by police and arrested for ", 1996
Paris Was a Woman,Female , 1996
Good Luck,"Hines plays a former dental student, Bern Lemley, who had to quit school just before finals because of a car accident that left him in a wheelchair. D'Onofrio plays a former pro football ...                ", 1996
Non-Stop,"A salaryman, a drug addict and a yakuza go on a breathless three man chase through the streets of Tokyo, each for a different reason and fighting demons.", 1996
Nun va Goldoon,A semi, 1996
Adrenalin: Fear the Rush,"The Russian government has collapsed. Amidst the chaos, riots, and struggle for power, a terrible weapon has leaked out. Virulent microflage, a deadly germ of the cold war has begun to ...                ", 1996
Late Bloomers,"High School basketball coach, Dinah Groshardt, falls for the school secretary, Carly Lumpkin, and upsets the entire school in the process.", 1996
The War at Home,"Haunted by his experiences in the Vietnam War, a young man returns home and has trouble adjusting back to civilian life, his family and his stern father.", 1996
Love Is All There Is,Romeo , 1996
Losing Chase,Chase , 1996
Lea,51, 1996
Freebird... The Movie,"See classic live performances, interviews and vintage footage of the original Lynyrd Skynyrd band.", 1996
Wedding Bell Blues,        , 1996
Joyeux Calvaire,"In Montreal, the wanderings of two urban homeless, Marcel, an old timer and Joseph, who just landed in the big city. Both philosophers and resourceful nice bums roam the streets of the ...                ", 1996
Le plus beau métier du monde,"Gerard Depardieu is a new teacher in a lower class school. He has a hard time with a special eighth grade class, and in his building.", 1996
The Big Squeeze,"Benny, a lonely drifter, is thrown off a train after cheating at cards, and into the life of Tanya, a lovely bartender. Tanya has been supporting her husband, a former ballplayer, since his...                ", 1996
The Last Big Thing,"From a bland tract house on the outskirts of Los Angeles, Simon Geist ", 1996
Bandwagon,"Tony gets fired from his job. He's not really sad about this because he prefers writing songs and playing the guitar. He meets the drummer Charlie and they decide to start a band, although ...                ", 1996
The Delta,"Lincoln, who's not yet 18, leads a straight life most of the time", 1996
Hard Core Logo,Bruce Macdonald follows punk bank Hard Core Logo on a harrowing last, 1996
Portraits chinois,"Ada and Lise are both costume designers, the first is around 20, the other around 30. Both are working hard on their break through. There are also jobs for the movies. This is where Lise ...                ", 1996
Illtown,"Dante and his girlifrend Micky run a very profitable drug operation in a seaside town, aided and abetted by a host of teens who sell the smack at discos around town, as well as by Lucas, a ...                ", 1996
Pizzicata,"1943, Italy's Salentino peninsula. Tony, an American fighter pilot, raised speaking Italian in New York, parachutes to safety and is hidden at the olive farm of Carmine, a man with three ...                ", 1996
Y'aura t'il de la neige à Noël?,"A woman and her seven children live on a farm in Southern France. In spite of the hard work and the mediocre accommodation, their life would be a happy one, but for one person", 1996
The Empty Mirror,Adolf Hitler faces himself and must come to terms with his infamous career in an imaginary post, 1996
Nashim,"Love, family expectations, and religion mix in 19th century Jerusalem. Jacob and Rebecca marry", 1996
Private Confessions,Five conversations frame a flawed marriage in this film written by Ingmar Bergman about his parents. Guilt, 1996
Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room., 1995
Batman Forever,Batman must battle Two, 1995
Apollo 13,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy., 1995
Pocahontas,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth, 1995
Ace Ventura: When Nature Calls,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.", 1995
GoldenEye,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead., 1995
Casper,A paranormal expert and his daughter bunk in an abandoned house populated by three mischievous ghosts and one friendly one., 1995
Jumanji,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.", 1995
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.", 1995
Die Hard with a Vengeance,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.", 1995
Crimson Tide,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so.", 1995
Waterworld,In a future where the polar ice, 1995
Dangerous Minds,An ex, 1995
Mr. Holland's Opus,A frustrated composer finds fulfillment as a high school music teacher., 1995
While You Were Sleeping,A hopeless romantic Chicago Transit Authority token collector is mistaken for the fianc, 1995
Congo,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.", 1995
Father of the Bride Part II,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.", 1995
Braveheart,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.", 1995
Get Shorty,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job., 1995
The Bridges of Madison County,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.", 1995
Mortal Kombat,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world., 1995
Grumpier Old Men,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.", 1995
Nine Months,"When he finds out his longtime girlfriend is pregnant, a commitment", 1995
Outbreak,"Extreme measures are necessary to contain an epidemic of a deadly airborne virus. But how extreme, exactly", 1995
Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist., 1995
Babe,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.", 1995
Waiting to Exhale,"Based on Terry McMillan's novel, this film follows four very different African", 1995
Bad Boys,Two hip detectives protect a murder witness while investigating a case of stolen heroin., 1995
The American President,Comedy, 1995
Species,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human., 1995
Twelve Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man", 1995
Clueless,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.", 1995
Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush", 1995
Something to Talk About,A woman's world is rocked when she discovers her husband is cheating on her., 1995
The Net,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.", 1995
Under Siege 2: Dark Territory,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.", 1995
A Walk in the Clouds,A married soldier returning from WW2 poses as a pregnant woman's husband to save her from her father's anger and honor., 1995
The Brady Bunch Movie,"The original '70s T.V. family is now placed in the 1990s, where they're even more square and out of place than ever.", 1995
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.", 1995
Casino,"Greed, deception, money, power, and murder occur between two best friends, a mafia underboss and a casino owner, for a trophy wife over a gambling empire.", 1995
Man of the House,"Ben Archer is not happy. His mother, Sandy, has just met a man, and it looks like things are pretty serious. Driven by a fear of abandonment, Ben tries anything and everything to ruin the ", 1995
Dead Man Walking,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.", 1995
French Kiss,A woman flies to France to confront her straying fianc, 1995
Higher Learning,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.", 1995
Mighty Morphin Power Rangers: The Movie,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.", 1995
First Knight,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.", 1995
Just Cause,A Harvard professor is lured back into the courtroom after 25 years to take the case of a young black man condemned to death for the horrific murder of a child., 1995
"To Wong Foo Thanks for Everything, Julie Newmar",Three drag queens travel cross, 1995
The Indian in the Cupboard,On his ninth birthday a boy receives many presents. Two of them first seem to be less important, 1995
A Goofy Movie,"When Max makes an preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross", 1995
Money Train,A vengeful New York transit cop decides to steal a trainload of subway fares, 1995
Judge Dredd,"In a dystopian future, Joseph Dredd, the most famous Judge ", 1995
Forget Paris,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews, an American living in Paris, works for the airline Mickey flies on. They meet and fall in love...                ", 1995
Tommy Boy,"An incompetent, immature, and dimwitted heir to an auto parts factory must save the business to keep it out of the hands of his new, con", 1995
Rumble in the Bronx,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills., 1995
Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past., 1995
Leaving Las Vegas,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non", 1995
Rob Roy,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.", 1995
Powder,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit., 1995
Assassins,Professional hit, 1995
Free Willy 2: The Adventure Home,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill., 1995
Major Payne,"Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no ...                ", 1995
Friday,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the ", 1995
Now and Then,Four 12, 1995
Houseguest,"In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.", 1995
Desperado,A gunslinger is embroiled in a war with a local drug runner., 1995
Billy Madison,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1", 1995
Operation Dumbo Drop,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.", 1995
Dolores Claiborne,A big, 1995
Dead Presidents,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.", 1995
Virtuosity,"When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex", 1995
Tom and Huck,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.", 1995
How to Make an American Quilt,Bride, 1995
Boys on the Side,"Jane is a night club singer, out of work. Robin is a quirky real estate agent looking for a ride", 1995
Circle of Friends,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at ...                ", 1995
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.", 1995
Sudden Death,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals., 1995
To Die For,Suzanne Stone , 1995
Tales from the Crypt: Demon Knight,A man on the run is hunted by a demon known as the Collector., 1995
Showgirls,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.", 1995
Vampire in Brooklyn,"Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ...                ", 1995
It Takes Two,Alyssa , 1995
Johnny Mnemonic,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.", 1995
The Quick and the Dead,Lady avenger returns to western town owned by a ruthless gunslinger hosting an elimination tournament., 1995
The Big Green,Another Disney underdog sports team of misfit kids , 1995
Heavy Weights,"Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that the facility is a woodland hellhole run by a psycho ex", 1995
Home for the Holidays,"After losing her job, making out with her soon", 1995
Murder in the First,An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances, 1995
Jury Duty,When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as , 1995
The Prophecy,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.", 1995
Devil in a Blue Dress,An African, 1995
Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...                ", 1995
Mad Love,The high, 1995
Halloween: The Curse of Michael Myers,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.", 1995
Kiss of Death,A reformed convict goes undercover with the help of an angry detective to ensnare a psychotic mobster., 1995
Candyman: Farewell to the Flesh,The Candyman arrives in New Orleans and sets his sights on a young woman whose family was ruined by the immortal killer years before., 1995
Nixon,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.", 1995
A Kid in King Arthur's Court,Young Calvin Fuller is pulled into King Arthur's court by Merlin. His mission, 1995
Lord of Illusions,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult, who are waiting for the resurrection of their leader Nix. 13 years ago, Nix was...                ", 1995
Clockers,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.", 1995
Hideaway,Hatch Harrison had a traffic accident with his car. At first the doctors said he was dead but then they succeeded to bring him back to life after two hours. But Hatch starts to have strange...                , 1995
Bye Bye Love,"This is a story about the breakup of the family. In particular, it focuses on the lifestyle of three divorced men. The film is presented from their perspective and it reveals their ...                ", 1995
Roommates,An elderly yet young, 1995
Tales from the Hood,A funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business., 1995
Far from Home: The Adventures of Yellow Dog,"Teenage Angus adopts a stray dog and names him Yellow. Several days later, while traveling along the coast of British Columbia with Angus' father, John, the boy and dog become stranded when...                ", 1995
Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.", 1995
Balto,An outcast half, 1995
My Family,"This epic film traces over three generations an immigrant family's trials, tribulations, tragedies and triumphs. Jose and Maria, the first generation, come to Los Angeles, meet, marry, face...                ", 1995
Cutthroat Island,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure., 1995
The Englishman Who Went Up a Hill But Came Down a Mountain,"When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that.", 1995
Dracula: Dead and Loving It,Mel Brooks' parody of the classic vampire story and its famous film adaptations., 1995
The Scarlet Letter,An affair between a young woman and a pastor has disastrous consequences., 1995
The Brothers McMullen,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.", 1995
A Little Princess,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead., 1995
Jade,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.", 1995
The Baby-Sitters Club,Seven junior, 1995
Village of the Damned,A small town's women give birth to unfriendly alien children posing as humans., 1995
Smoke,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.", 1995
Tall Tale,A young boy draws on the inspiration of legendary western characters to find the strength to fight an evil land baron in the old west who wants to steal his family's farm and destroy their ...                , 1995
Nick of Time,"An unimpressive, every", 1995
Unstrung Heroes,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home ...                ", 1995
Strange Days,A former cop turned street, 1995
Losing Isaiah,"The natural and adoptive mothers of a young boy are involved in a bitter, controversial custody battle.", 1995
Hackers,"A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later, he and his new", 1995
The Jerky Boys,When two unemployed telephone pranksters decide to use their vocal , 1995
The Amazing Panda Adventure,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats., 1995
Bushwhacked,"On the run from authorities, a sleazy courier poses as a scout leader on a camping trip. But he has no idea what he's in for when he has to lead a group of kids.", 1995
Kids,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking, and deflowering virgins.", 1995
Last of the Dogmen,"A Montana bounty hunter is sent into the wilderness to track three escaped prisoners. Instead he sees something that puzzles him. Later with a female Native Indian history professor, he ...                ", 1995
Three Wishes,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family.", 1995
Never Talk to Strangers,"Sarah Taylor, a police psychologist, meets a mysterious and seductive young man, Tony Ramirez, and falls in love with him. As a result of this relationship, she changes her personality when...                ", 1995
Panther,A dramatized account of the story of The Black Panther Party of Self, 1995
Mighty Aphrodite,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother", 1995
The Hunted,"Paul is on a business trips to Nagoya, as a computer", 1995
Steal Big Steal Little,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest ", 1995
The Walking Dead,"In 1972 Vietnam, a group of United States Marines are sent in to rescue several POW officers. The Landing Zone ", 1995
Screamers,, 1995
The Tie That Binds,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie. John and Leann are in the process of robbing a house when the two ...                , 1995
Beyond Rangoon,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she...                ", 1995
Gold Diggers: The Secret of Bear Mountain,"A city girl teams up with a tomboy to solve the mystery of Bear Mountain, Molly Morgan, and the buried treasure as well as learn about true friendships.", 1995
Cold Comfort Farm,"In England in the early 1930's, 20 year old Flora Poste, recently orphaned and left with only 100 pounds a year, goes to stay with distant relatives on Cold Comfort Farm. Everyone on the ...                ", 1995
Persuasion,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...                ", 1985
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.", 1995
Angels and Insects,In the 1800s a naturalist marries into a family of British country gentry., 1995
Miami Rhapsody,"Gwyn Marcus has always wanted a marriage like her parents. She has just accepted the proposal of her boyfriend Matt, but she has misgivings about their future together. Her fear of ...                ", 1995
Top Dog,"With his cop companion shot and killed by terrorists, Reno The Dog pairs up with tough cop Jake in thwarting the criminal organization.", 1995
Antonia's Line,"A Dutch matron establishes and, for several generations, oversees a close", 1995
Angus,"A miserable fat teenager secretly has a crush on the class beauty, ends up becoming the surprising participant to dance with her at a high school dance, meaning he's got to get his act together with the help of his best friend.", 1995
Welcome to the Dollhouse,"An unattractive seventh grader struggles to cope with inattentive parents, snobbish classmates, a smart older brother, an attractive younger sister, and her own insecurities in suburban New Jersey.", 1995
Senior Trip,"While on detention, a group of misfits and slackers have to write a letter to the President explaining what is wrong with the education system. There is only one problem, the President ...                ", 1995
Four Rooms,Four interlocking tales that take place in a fading hotel on New Year's Eve., 1995
Restoration,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.", 1995
Tank Girl,"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega", 1995
Gordy,A talking pig named Gordy becomes involved in a quest to save his family from the slaughterhouse., 1995
Fluke,"After a man dies in a car crash, he is reincarnated as a dog and attempts to reconnect with his family.", 1995
The Pebble and the Penguin,A lovable but introverted penguin named Hubie plans to present his betrothal pebble to the bird of his dreams., 1995
White Man's Burden,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate ...                ", 1995
Bad Company,Nelson Crowe is a CIA operative under the thumb of the Company for a disputed delivery of , 1995
Born to Be Wild,Rick Heller is a juvenile delinquent who keeps getting himself into trouble. To keep him out of trouble his mother puts him to work cleaning the cage of a gorilla named Katie which she is ...                , 1995
Jeffrey,"Jeffrey, a young gay man in New York, decides that sex is too much and decides to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ...                ", 1995
Once Upon a Time... When We Were Colored,A narrator tells the story of his childhood years in a tightly knit Afro, 1995
Carrington,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century., 1995
Georgia,Sadie is desperately looking up to her older sister Georgia who is a famous C, 1995
Unzipped,"Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection. He combines inspirations such as the Hollywood Eskimo look, the Mary Tyler Moore show, ...                ", 1995
The Perez Family,"In an attempt to secure a sponsor, an unlikely group of Cuban refugees become a ", 1995
Dr. Jekyll and Ms. Hyde,"New York City, Dr. Richard Jacks is a creator of perfumes. He spends all of his days try to invent the next best thing in the industry. His girlfriend, Sarah, sometimes gets pushed to the ...                ", 1995
The Show,A documentary about the culture of hip, 1995
Magic in the Water,Radio psychologist Jack Black takes his children Joshua and Ashley on a 'vacation' to a lake in British Columbia. While he grinds away at work the children discover that the famous local ...                , 1995
Richard III,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting., 1995
The Cure,"Erik, a loner, finds a friend in Dexter, an eleven", 1995
Moonlight and Valentino,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter., 1995
Jefferson in Paris,"One of the obsessive speculations in American history is whether Thomas Jefferson, in the years before he became president, had an affair with ", 1995
The Basketball Diaries,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction., 1995
"Yao a yao, yao dao wai po qiao",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress., 1995
A Month by the Lake,"For 16 years Miss Bentley has been spending April at an elegant hillside villa on Lake Como. This year, 1937, her London society artist father has recently died and the only other ...                ", 1995
Wild Bill,The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane., 1995
Mallrats,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.", 1995
Othello,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago., 1995
The Incredibly True Adventure of Two Girls in Love,An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance., 1995
The Horseman on the Roof,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.", 1995
The Mangler,A laundry, 1995
Liste noire,"At the trial of a judge who was found with a prostitute, a list of clients pops up. It contains the names of some very influential judges and politicians. Then, dead bodies and death ...                ", 1995
The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.", 1995
The Celluloid Closet,A documentary surveying the various Hollywood screen depictions of homosexuals and the attitudes behind them throughout the history of North American film., 1995
French Twist,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.", 1995
Anne Frank Remembered,"Using previously unreleased archival material in addition to contemporary interviews, this academy award", 1995
Blue in the Face,Wayne Wang's follow, 1995
Mute Witness,"Billy Hughes, a mute makeup artist working on a slasher film being shot in Moscow, is locked in the studio after hours. While there she witnesses a brutal murder, and must first escape ...                ", 1995
The Flower of My Secret,"Leo Macias writes sentimental novels with great success but hidden under a pseudonym, Amanda Gris. She is unhappy with her professional life and with her husband, a soldier working in ...                ", 1995
When Night Is Falling,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free", 1995
Destiny Turns on the Radio,"Johnny Destiny burns into Las Vegas in his hot Plymouth RoadRunner, stopping only to pick up a stranger stranded in the desert. But then, things aren't always as they seem. Anything can ...                ", 1995
Living in Oblivion,Film about filmmaking. It takes place during one day on set of non, 1995
Dead Man,"On the run after murdering a man, accountant William Blake encounters a strange North American man named Nobody who prepares him for his journey into the spiritual world.", 1995
